datetime,temperature_degC,probe_id
2022-12-20 12:59:52,33.00,TD
2022-12-20 12:59:52,37.44,TA
2022-12-20 12:59:52,36.13,TB
2022-12-20 12:59:52,34.13,TC
2022-12-20 13:04:53,32.94,TD
2022-12-20 13:04:53,37.44,TA
2022-12-20 13:04:53,36.06,TB
2022-12-20 13:04:53,34.19,TC
2022-12-20 13:09:54,33.00,TD
2022-12-20 13:09:54,37.44,TA
2022-12-20 13:09:54,36.06,TB
2022-12-20 13:09:54,34.13,TC
2022-12-20 13:14:55,33.00,TD
2022-12-20 13:14:55,37.44,TA
2022-12-20 13:14:55,36.06,TB
2022-12-20 13:14:55,34.19,TC
2022-12-20 13:19:56,33.00,TD
2022-12-20 13:19:56,37.44,TA
2022-12-20 13:19:56,36.13,TB
2022-12-20 13:19:56,34.19,TC
2022-12-20 13:24:57,33.00,TD
2022-12-20 13:24:57,37.50,TA
2022-12-20 13:24:57,36.13,TB
2022-12-20 13:24:57,34.25,TC
2022-12-20 13:29:58,33.06,TD
2022-12-20 13:29:58,37.50,TA
2022-12-20 13:29:58,36.13,TB
2022-12-20 13:29:58,34.19,TC
2022-12-20 13:34:59,33.00,TD
2022-12-20 13:34:59,37.44,TA
2022-12-20 13:34:59,36.19,TB
2022-12-20 13:34:59,34.19,TC
2022-12-20 13:40:00,33.00,TD
2022-12-20 13:40:00,37.44,TA
2022-12-20 13:40:00,36.19,TB
2022-12-20 13:40:00,34.19,TC
2022-12-20 13:45:01,33.00,TD
2022-12-20 13:45:01,37.44,TA
2022-12-20 13:45:01,36.25,TB
2022-12-20 13:45:01,34.13,TC
2022-12-20 13:50:02,33.06,TD
2022-12-20 13:50:02,37.50,TA
2022-12-20 13:50:02,36.25,TB
2022-12-20 13:50:02,34.13,TC
2022-12-20 13:55:03,33.00,TD
2022-12-20 13:55:03,37.50,TA
2022-12-20 13:55:03,36.31,TB
2022-12-20 13:55:03,34.19,TC
2022-12-20 14:00:04,33.00,TD
2022-12-20 14:00:04,37.50,TA
2022-12-20 14:00:04,36.25,TB
2022-12-20 14:00:04,34.13,TC
2022-12-20 14:05:05,33.00,TD
2022-12-20 14:05:05,37.50,TA
2022-12-20 14:05:05,36.31,TB
2022-12-20 14:05:05,34.13,TC
2022-12-20 14:10:06,33.00,TD
2022-12-20 14:10:06,37.50,TA
2022-12-20 14:10:06,36.31,TB
2022-12-20 14:10:06,34.19,TC
2022-12-20 14:15:07,33.00,TD
2022-12-20 14:15:07,37.50,TA
2022-12-20 14:15:07,36.31,TB
2022-12-20 14:15:07,34.19,TC
2022-12-20 14:20:08,33.00,TD
2022-12-20 14:20:08,37.50,TA
2022-12-20 14:20:08,36.31,TB
2022-12-20 14:20:08,34.19,TC
2022-12-20 14:25:09,33.06,TD
2022-12-20 14:25:09,37.50,TA
2022-12-20 14:25:09,36.38,TB
2022-12-20 14:25:09,34.19,TC
2022-12-20 14:30:10,33.06,TD
2022-12-20 14:30:10,37.50,TA
2022-12-20 14:30:10,36.31,TB
2022-12-20 14:30:10,34.25,TC
2022-12-20 14:35:11,33.00,TD
2022-12-20 14:35:11,37.56,TA
2022-12-20 14:35:11,36.31,TB
2022-12-20 14:35:11,34.19,TC
2022-12-20 14:40:12,33.06,TD
2022-12-20 14:40:12,37.56,TA
2022-12-20 14:40:12,36.38,TB
2022-12-20 14:40:12,34.19,TC
2022-12-20 14:45:13,32.69,TD
2022-12-20 14:45:13,37.50,TA
2022-12-20 14:45:13,36.38,TB
2022-12-20 14:45:13,33.75,TC
2022-12-20 14:50:14,32.75,TD
2022-12-20 14:50:14,37.50,TA
2022-12-20 14:50:14,36.38,TB
2022-12-20 14:50:14,34.00,TC
2022-12-20 14:55:15,32.88,TD
2022-12-20 14:55:15,37.50,TA
2022-12-20 14:55:15,36.38,TB
2022-12-20 14:55:15,34.13,TC
2022-12-20 15:00:16,32.94,TD
2022-12-20 15:00:16,37.50,TA
2022-12-20 15:00:16,36.38,TB
2022-12-20 15:00:16,34.13,TC
2022-12-20 15:05:17,32.94,TD
2022-12-20 15:05:17,37.50,TA
2022-12-20 15:05:17,36.38,TB
2022-12-20 15:05:17,34.13,TC
2022-12-20 15:10:18,33.00,TD
2022-12-20 15:10:18,37.50,TA
2022-12-20 15:10:18,36.38,TB
2022-12-20 15:10:18,34.19,TC
2022-12-20 15:15:19,33.06,TD
2022-12-20 15:15:19,37.44,TA
2022-12-20 15:15:19,36.31,TB
2022-12-20 15:15:19,34.19,TC
2022-12-20 15:20:20,33.00,TD
2022-12-20 15:20:20,37.50,TA
2022-12-20 15:20:20,36.38,TB
2022-12-20 15:20:20,34.13,TC
2022-12-20 15:25:21,33.00,TD
2022-12-20 15:25:21,37.50,TA
2022-12-20 15:25:21,36.38,TB
2022-12-20 15:25:21,34.13,TC
2022-12-20 15:30:22,32.94,TD
2022-12-20 15:30:22,37.50,TA
2022-12-20 15:30:22,36.38,TB
2022-12-20 15:30:22,34.13,TC
2022-12-20 15:35:23,33.00,TD
2022-12-20 15:35:23,37.56,TA
2022-12-20 15:35:23,36.38,TB
2022-12-20 15:35:23,34.13,TC
2022-12-20 15:40:24,33.00,TD
2022-12-20 15:40:24,37.50,TA
2022-12-20 15:40:24,36.44,TB
2022-12-20 15:40:24,34.13,TC
2022-12-20 15:45:25,33.00,TD
2022-12-20 15:45:25,37.50,TA
2022-12-20 15:45:25,36.38,TB
2022-12-20 15:45:25,34.13,TC
2022-12-20 15:50:26,33.00,TD
2022-12-20 15:50:26,37.50,TA
2022-12-20 15:50:26,36.38,TB
2022-12-20 15:50:26,34.19,TC
2022-12-20 15:55:27,33.06,TD
2022-12-20 15:55:27,37.50,TA
2022-12-20 15:55:27,36.44,TB
2022-12-20 15:55:27,34.19,TC
2022-12-20 16:00:28,33.06,TD
2022-12-20 16:00:28,37.56,TA
2022-12-20 16:00:28,36.44,TB
2022-12-20 16:00:28,34.19,TC
2022-12-20 16:05:29,33.13,TD
2022-12-20 16:05:29,37.56,TA
2022-12-20 16:05:29,36.44,TB
2022-12-20 16:05:29,34.25,TC
2022-12-20 16:10:30,33.06,TD
2022-12-20 16:10:30,37.50,TA
2022-12-20 16:10:30,36.44,TB
2022-12-20 16:10:30,34.19,TC
2022-12-20 16:15:31,33.00,TD
2022-12-20 16:15:31,37.50,TA
2022-12-20 16:15:31,36.44,TB
2022-12-20 16:15:31,34.25,TC
2022-12-20 16:20:32,33.00,TD
2022-12-20 16:20:32,37.50,TA
2022-12-20 16:20:32,36.44,TB
